FIPStxt,State,Area_Name,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2013,CI90LBAll_2013,CI90UBALL_2013,PCTPOVALL_2013,CI90LBALLP_2013,CI90UBALLP_2013,POV017_2013,CI90LB017_2013,CI90UB017_2013,PCTPOV017_2013,CI90LB017P_2013,CI90UB017P_2013,POV517_2013,CI90LB517_2013,CI90UB517_2013,PCTPOV517_2013,CI90LB517P_2013,CI90UB517P_2013,MEDHHINC_2013,CI90LBINC_2013,CI90UBINC_2013,POV05_2013,CI90LB05_2013,CI90UB05_2013,PCTPOV05_2013,CI90LB05P_2013,CI90UB05P_2013
00000,US,United States, , , , ,"48,810,868","48,554,692","49,067,044",15.8,15.7,15.9,"16,086,960","15,948,844","16,225,076",22.2,22.0,22.4,"10,958,232","10,860,529","11,055,935",20.8,20.6,21.0,"52,250","52,185","52,315","4,811,689","4,759,374","4,864,004",24.8,24.5,25.1
01000,AL,Alabama, , , , ,"889,091","873,141","905,041",18.9,18.6,19.2,"300,649","291,502","309,796",27.4,26.6,28.2,"205,023","197,115","212,931",25.6,24.6,26.6,"42,882","42,260","43,504","92,126","87,734","96,518",31.6,30.1,33.1
01001,AL,Autauga County,2,2,2,2,"7,397","6,109","8,685",13.5,11.1,15.9,"2,724","2,200","3,248",19.6,15.8,23.4,"1,855","1,429","2,281",17.6,13.6,21.6,"51,868","48,314","55,422", , , , , , 
01003,AL,Baldwin County,4,5,3,5,"27,429","23,468","31,390",14.2,12.1,16.3,"8,994","7,400","10,588",20.8,17.1,24.5,"6,171","4,877","7,465",19.2,15.2,23.2,"47,539","44,089","50,989", , , , , , 
01005,AL,Barbour County,6,6,6,6,"6,654","5,448","7,860",28.2,23.1,33.3,"2,393","1,987","2,799",42.4,35.2,49.6,"1,683","1,355","2,011",41.2,33.2,49.2,"30,981","28,134","33,828", , , , , , 
01007,AL,Bibb County,1,1,1,1,"4,689","3,803","5,575",23.1,18.7,27.5,"1,664","1,395","1,933",35.6,29.9,41.3,"1,096",881,"1,311",31.4,25.2,37.6,"39,781","36,433","43,129", , , , , , 
01009,AL,Blount County,1,1,1,1,"9,878","8,390","11,366",17.2,14.6,19.8,"3,637","3,088","4,186",26.6,22.6,30.6,"2,448","2,003","2,893",24.2,19.8,28.6,"44,392","40,858","47,926", , , , , , 
01011,AL,Bullock County,6,6,6,6,"3,123","2,452","3,794",35.2,27.6,42.8,974,758,"1,190",44.2,34.4,54.0,684,518,850,44.4,33.6,55.2,"25,937","23,458","28,416", , , , , , 
01013,AL,Butler County,6,6,6,6,"5,731","4,865","6,597",28.8,24.5,33.1,"1,864","1,550","2,178",39.8,33.1,46.5,"1,430","1,187","1,673",41.6,34.5,48.7,"31,041","28,262","33,820", , , , , , 
01015,AL,Calhoun County,3,2,3,2,"24,338","21,584","27,092",21.4,19.0,23.8,"7,301","6,126","8,476",28.7,24.1,33.3,"5,060","4,111","6,009",27.0,21.9,32.1,"37,898","35,135","40,661", , , , , , 
01017,AL,Chambers County,6,5,6,5,"7,578","6,373","8,783",22.5,18.9,26.1,"2,497","2,047","2,947",34.7,28.4,41.0,"1,814","1,461","2,167",34.7,28.0,41.4,"33,883","31,416","36,350", , , , , , 
01019,AL,Cherokee County,8,6,6,6,"5,199","4,128","6,270",20.1,16.0,24.2,"1,697","1,327","2,067",31.6,24.7,38.5,"1,184",903,"1,465",28.8,22.0,35.6,"37,478","34,040","40,916", , , , , , 
01021,AL,Chilton County,1,1,1,1,"8,841","7,280","10,402",20.3,16.7,23.9,"3,526","2,910","4,142",33.7,27.8,39.6,"2,503","2,021","2,985",32.7,26.4,39.0,"41,348","38,501","44,195", , , , , , 
01023,AL,Choctaw County,9,10,9,10,"2,976","2,383","3,569",22.4,17.9,26.9,870,673,"1,067",31.0,24.0,38.0,616,463,769,28.8,21.6,36.0,"33,581","30,281","36,881", , , , , , 
01025,AL,Clarke County,7,11,7,11,"6,318","5,232","7,404",25.4,21.0,29.8,"2,034","1,630","2,438",35.3,28.3,42.3,"1,423","1,115","1,731",32.4,25.4,39.4,"34,593","31,267","37,919", , , , , , 
01027,AL,Clay County,9,10,9,10,"2,590","2,045","3,135",19.6,15.5,23.7,836,653,"1,019",28.9,22.6,35.2,604,462,746,27.9,21.3,34.5,"33,344","30,182","36,506", , , , , , 
01029,AL,Cleburne County,8,4,8,4,"2,787","2,213","3,361",18.9,15.0,22.8,920,727,"1,113",27.6,21.8,33.4,651,499,803,25.9,19.9,31.9,"40,407","36,588","44,226", , , , , , 
01031,AL,Coffee County,6,5,4,5,"9,315","8,053","10,577",18.5,16.0,21.0,"3,324","2,814","3,834",27.9,23.6,32.2,"2,250","1,852","2,648",25.8,21.2,30.4,"44,666","40,557","48,775", , , , , , 
01033,AL,Colbert County,3,2,3,2,"8,794","7,247","10,341",16.3,13.4,19.2,"3,014","2,363","3,665",25.8,20.2,31.4,"2,089","1,560","2,618",24.3,18.1,30.5,"40,032","37,377","42,687", , , , , , 
01035,AL,Conecuh County,9,11,7,11,"3,900","3,160","4,640",30.5,24.7,36.3,"1,211",958,"1,464",43.4,34.3,52.5,843,647,"1,039",40.2,30.8,49.6,"27,196","24,680","29,712", , , , , , 
01037,AL,Coosa County,8,7,8,7,"2,141","1,676","2,606",19.9,15.6,24.2,627,484,770,30.9,23.9,37.9,439,327,551,28.7,21.4,36.0,"35,175","31,727","38,623", , , , , , 
01039,AL,Covington County,7,9,6,9,"7,156","5,711","8,601",19.2,15.3,23.1,"2,408","1,863","2,953",29.2,22.6,35.8,"1,639","1,219","2,059",27.1,20.2,34.0,"35,187","32,334","38,040", , , , , , 
01041,AL,Crenshaw County,8,6,8,6,"3,069","2,490","3,648",22.2,18.0,26.4,995,793,"1,197",31.3,24.9,37.7,693,535,851,29.9,23.1,36.7,"34,105","30,817","37,393", , , , , , 
01043,AL,Cullman County,6,3,4,3,"13,076","10,859","15,293",16.4,13.6,19.2,"4,040","3,167","4,913",22.6,17.7,27.5,"2,640","1,984","3,296",20.1,15.1,25.1,"40,142","37,604","42,680", , , , , , 
01045,AL,Dale County,4,5,4,5,"9,804","8,533","11,075",20.1,17.5,22.7,"3,298","2,752","3,844",28.2,23.5,32.9,"2,115","1,653","2,577",25.0,19.5,30.5,"41,805","39,127","44,483", , , , , , 
01047,AL,Dallas County,4,5,4,5,"12,975","10,689","15,261",31.3,25.8,36.8,"5,253","4,349","6,157",49.6,41.1,58.1,"3,925","3,280","4,570",50.6,42.3,58.9,"27,524","25,236","29,812", , , , , , 
01049,AL,DeKalb County,6,6,6,6,"14,044","11,197","16,891",20.0,15.9,24.1,"5,257","4,123","6,391",30.3,23.8,36.8,"3,692","2,826","4,558",28.6,21.9,35.3,"36,713","33,632","39,794", , , , , , 
01051,AL,Elmore County,2,2,2,2,"10,071","8,186","11,956",13.4,10.9,15.9,"3,760","3,011","4,509",20.2,16.2,24.2,"2,626","2,049","3,203",19.1,14.9,23.3,"51,650","47,480","55,820", , , , , , 
01053,AL,Escambia County,6,6,6,6,"9,615","8,116","11,114",27.8,23.5,32.1,"3,071","2,623","3,519",37.1,31.7,42.5,"2,065","1,714","2,416",34.9,29.0,40.8,"33,455","30,932","35,978", , , , , , 
01055,AL,Etowah County,3,2,3,2,"19,938","17,074","22,802",19.6,16.8,22.4,"6,382","5,123","7,641",28.1,22.6,33.6,"4,271","3,342","5,200",25.5,19.9,31.1,"38,587","35,818","41,356", , , , , , 
01057,AL,Fayette County,6,6,6,6,"3,440","2,732","4,148",20.7,16.4,25.0,"1,073",846,"1,300",29.6,23.3,35.9,740,557,923,27.3,20.5,34.1,"35,661","32,265","39,057", , , , , , 
01059,AL,Franklin County,6,6,6,6,"7,194","5,936","8,452",23.1,19.1,27.1,"2,752","2,268","3,236",36.3,29.9,42.7,"1,852","1,451","2,253",33.7,26.4,41.0,"33,332","30,438","36,226", , , , , , 
01061,AL,Geneva County,3,2,3,2,"6,224","5,108","7,340",23.6,19.4,27.8,"2,235","1,798","2,672",38.2,30.7,45.7,"1,558","1,216","1,900",35.9,28.0,43.8,"35,378","32,367","38,389", , , , , , 
01063,AL,Greene County,3,2,8,2,"3,040","2,377","3,703",35.0,27.4,42.6,"1,020",799,"1,241",50.5,39.6,61.4,701,531,871,46.7,35.4,58.0,"25,864","23,314","28,414", , , , , , 
01065,AL,Hale County,3,2,3,2,"3,877","3,044","4,710",25.7,20.2,31.2,"1,382","1,085","1,679",38.8,30.5,47.1,982,755,"1,209",37.5,28.8,46.2,"33,597","30,908","36,286", , , , , , 
01067,AL,Henry County,3,2,3,2,"3,102","2,413","3,791",18.2,14.2,22.2,"1,042",811,"1,273",28.7,22.4,35.0,739,557,921,27.3,20.6,34.0,"41,590","38,570","44,610", , , , , , 
01069,AL,Houston County,3,2,3,2,"18,527","16,548","20,506",18.1,16.2,20.0,"7,377","6,422","8,332",30.1,26.2,34.0,"5,113","4,325","5,901",28.6,24.2,33.0,"39,636","37,582","41,690", , , , , , 
01071,AL,Jackson County,6,5,6,5,"8,863","7,216","10,510",16.9,13.8,20.0,"3,217","2,609","3,825",28.1,22.8,33.4,"2,424","1,967","2,881",28.3,23.0,33.6,"37,204","34,273","40,135", , , , , , 
01073,AL,Jefferson County,1,1,1,1,"122,167","114,783","129,551",18.9,17.8,20.0,"40,476","36,719","44,233",26.8,24.3,29.3,"26,583","23,523","29,643",24.7,21.9,27.5,"45,024","43,476","46,572", , , , , , 
01075,AL,Lamar County,9,10,8,10,"3,221","2,650","3,792",23.0,18.9,27.1,961,762,"1,160",30.8,24.4,37.2,663,507,819,27.9,21.3,34.5,"36,475","33,136","39,814", , , , , , 
01077,AL,Lauderdale County,3,2,3,2,"15,526","13,182","17,870",17.1,14.5,19.7,"4,647","3,759","5,535",24.5,19.8,29.2,"3,242","2,589","3,895",23.0,18.4,27.6,"43,586","41,855","45,317", , , , , , 
01079,AL,Lawrence County,3,2,3,2,"5,798","4,677","6,919",17.4,14.0,20.8,"1,902","1,496","2,308",26.2,20.6,31.8,"1,393","1,072","1,714",25.6,19.7,31.5,"40,713","37,740","43,686", , , , , , 
01081,AL,Lee County,3,2,3,2,"29,094","25,816","32,372",19.8,17.6,22.0,"7,090","5,901","8,279",21.8,18.2,25.4,"4,500","3,549","5,451",18.8,14.8,22.8,"44,647","41,677","47,617", , , , , , 
01083,AL,Limestone County,2,2,2,2,"13,621","11,579","15,663",15.9,13.5,18.3,"4,352","3,562","5,142",21.2,17.4,25.0,"2,872","2,242","3,502",18.9,14.8,23.0,"50,148","46,767","53,529", , , , , , 
01085,AL,Lowndes County,2,2,2,2,"3,919","3,390","4,448",37.0,32.0,42.0,"1,324","1,126","1,522",53.1,45.2,61.0,902,738,"1,066",50.6,41.4,59.8,"29,734","26,809","32,659", , , , , , 
01087,AL,Macon County,6,5,6,5,"6,084","4,930","7,238",33.8,27.4,40.2,"1,692","1,338","2,046",46.4,36.7,56.1,"1,139",852,"1,426",42.6,31.8,53.4,"29,228","26,715","31,741", , , , , , 
01089,AL,Madison County,2,2,2,2,"47,136","42,538","51,734",13.9,12.5,15.3,"15,295","13,296","17,294",19.6,17.0,22.2,"10,052","8,402","11,702",17.5,14.6,20.4,"58,258","55,961","60,555", , , , , , 
01091,AL,Marengo County,7,11,7,11,"6,268","5,453","7,083",31.5,27.4,35.6,"2,309","2,026","2,592",50.0,43.9,56.1,"1,998","1,810","2,186",58.7,53.2,64.2,"33,749","30,587","36,911", , , , , , 
01093,AL,Marion County,8,4,7,4,"6,117","4,872","7,362",20.8,16.6,25.0,"1,919","1,490","2,348",30.5,23.7,37.3,"1,329",994,"1,664",28.2,21.1,35.3,"34,162","31,430","36,894", , , , , , 
01095,AL,Marshall County,4,5,4,5,"16,870","13,851","19,889",18.1,14.9,21.3,"6,781","5,412","8,150",29.5,23.5,35.5,"4,690","3,667","5,713",28.3,22.1,34.5,"38,399","35,722","41,076", , , , , , 
01097,AL,Mobile County,2,2,2,2,"82,625","74,522","90,728",20.3,18.3,22.3,"30,830","27,189","34,471",31.3,27.6,35.0,"20,442","17,544","23,340",28.8,24.7,32.9,"42,278","40,475","44,081", , , , , , 
01099,AL,Monroe County,7,11,7,11,"6,519","5,551","7,487",29.7,25.3,34.1,"2,063","1,665","2,461",39.1,31.6,46.6,"1,423","1,110","1,736",35.6,27.8,43.4,"32,696","29,402","35,990", , , , , , 
01101,AL,Montgomery County,2,2,2,2,"48,080","43,012","53,148",22.1,19.8,24.4,"17,864","15,445","20,283",33.0,28.5,37.5,"11,749","9,824","13,674",30.4,25.4,35.4,"44,013","42,151","45,875", , , , , , 
01103,AL,Morgan County,3,2,3,2,"20,479","17,766","23,192",17.4,15.1,19.7,"6,874","5,817","7,931",25.1,21.2,29.0,"4,605","3,746","5,464",22.9,18.6,27.2,"44,079","40,952","47,206", , , , , , 
01105,AL,Perry County,8,6,8,6,"3,360","2,602","4,118",36.4,28.2,44.6,"1,206",935,"1,477",52.6,40.8,64.4,836,622,"1,050",49.4,36.7,62.1,"25,461","22,931","27,991", , , , , , 
01107,AL,Pickens County,8,6,3,6,"4,490","3,711","5,269",23.8,19.7,27.9,"1,523","1,241","1,805",36.3,29.6,43.0,"1,107",886,"1,328",35.2,28.2,42.2,"32,314","29,266","35,362", , , , , , 
01109,AL,Pike County,6,5,6,5,"7,969","6,521","9,417",25.3,20.7,29.9,"2,276","1,799","2,753",34.8,27.5,42.1,"1,519","1,160","1,878",33.1,25.3,40.9,"35,944","33,131","38,757", , , , , , 
01111,AL,Randolph County,6,4,6,4,"5,202","4,258","6,146",23.4,19.2,27.6,"1,693","1,349","2,037",34.1,27.2,41.0,"1,186",925,"1,447",32.1,25.0,39.2,"35,121","32,044","38,198", , , , , , 
01113,AL,Russell County,2,2,2,2,"14,070","11,859","16,281",23.9,20.1,27.7,"5,040","4,023","6,057",34.0,27.1,40.9,"3,576","2,794","4,358",35.1,27.4,42.8,"35,762","33,623","37,901", , , , , , 
01115,AL,St. Clair County,1,1,1,1,"11,779","9,566","13,992",14.0,11.4,16.6,"4,087","3,292","4,882",20.7,16.7,24.7,"2,986","2,359","3,613",20.7,16.4,25.0,"52,437","49,124","55,750", , , , , , 
01117,AL,Shelby County,1,1,1,1,"16,664","13,785","19,543",8.3,6.9,9.7,"5,603","4,506","6,700",11.2,9.0,13.4,"3,970","3,130","4,810",10.6,8.4,12.8,"68,718","65,475","71,961", , , , , , 
01119,AL,Sumter County,8,6,8,6,"4,756","3,847","5,665",38.0,30.7,45.3,"1,283","1,003","1,563",48.8,38.1,59.5,889,669,"1,109",44.4,33.4,55.4,"24,504","22,037","26,971", , , , , , 
01121,AL,Talladega County,4,5,4,5,"15,399","12,512","18,286",19.8,16.1,23.5,"5,099","4,112","6,086",28.9,23.3,34.5,"3,589","2,827","4,351",27.3,21.5,33.1,"38,505","35,625","41,385", , , , , , 
01123,AL,Tallapoosa County,6,6,6,6,"9,025","7,759","10,291",22.2,19.1,25.3,"3,161","2,729","3,593",36.3,31.3,41.3,"2,406","2,083","2,729",38.1,33.0,43.2,"37,747","34,611","40,883", , , , , , 
01125,AL,Tuscaloosa County,3,2,3,2,"32,728","28,280","37,176",17.2,14.9,19.5,"9,765","7,992","11,538",23.4,19.1,27.7,"6,754","5,366","8,142",22.7,18.0,27.4,"45,959","43,870","48,048", , , , , , 
01127,AL,Walker County,1,1,1,1,"14,293","12,404","16,182",22.0,19.1,24.9,"4,629","3,947","5,311",32.2,27.5,36.9,"3,079","2,528","3,630",29.2,24.0,34.4,"37,193","33,857","40,529", , , , , , 
01129,AL,Washington County,8,7,8,7,"3,298","2,611","3,985",19.7,15.6,23.8,"1,116",881,"1,351",29.2,23.0,35.4,767,578,956,25.9,19.5,32.3,"41,115","37,916","44,314", , , , , , 
01131,AL,Wilcox County,8,7,9,7,"3,624","2,831","4,417",32.4,25.3,39.5,"1,420","1,091","1,749",50.1,38.5,61.7,"1,002",747,"1,257",45.9,34.2,57.6,"23,184","21,038","25,330", , , , , , 
01133,AL,Winston County,6,4,6,4,"5,215","4,218","6,212",21.9,17.7,26.1,"1,703","1,370","2,036",33.9,27.3,40.5,"1,157",897,"1,417",30.2,23.4,37.0,"33,578","30,921","36,235", , , , , , 
02000,AK,Alaska, , , , ,"72,643","69,056","76,230",10.1,9.6,10.6,"25,030","23,088","26,972",13.6,12.5,14.7,"16,118","14,436","17,800",12.5,11.2,13.8,"70,058","68,425","71,691","8,148","7,208","9,088",14.9,13.2,16.6
02013,AK,Aleutians East Borough,9,12,9,12,470,368,572,15.2,11.9,18.5,43,32,54,13.3,9.9,16.7,27,19,35,11.6,8.0,15.2,"56,856","52,816","60,896", , , , , , 
02016,AK,Aleutians West Census Area,7,11,9,11,426,322,530,8.1,6.1,10.1,52,38,66,7.6,5.5,9.7,35,24,46,6.9,4.7,9.1,"74,088","69,176","79,000", , , , , , 
02020,AK,Anchorage Borough,2,2,2,2,"22,753","19,508","25,998",7.7,6.6,8.8,"7,571","6,008","9,134",10.2,8.1,12.3,"4,994","3,809","6,179",9.7,7.4,12.0,"76,362","73,030","79,694", , , , , , 
